region;type;year;amount
Stockholms län;flerbostadshus;1975;9034
Stockholms län;flerbostadshus;1976;4202
Stockholms län;flerbostadshus;1977;2661
Stockholms län;flerbostadshus;1978;2202
Stockholms län;flerbostadshus;1979;3172
Stockholms län;flerbostadshus;1980;3082
Stockholms län;flerbostadshus;1981;3909
Stockholms län;flerbostadshus;1982;4549
Stockholms län;flerbostadshus;1983;6345
Stockholms län;flerbostadshus;1984;5307
Stockholms län;flerbostadshus;1985;6735
Stockholms län;flerbostadshus;1986;5444
Stockholms län;flerbostadshus;1987;4546
Stockholms län;flerbostadshus;1988;4829
Stockholms län;flerbostadshus;1989;6302
Stockholms län;flerbostadshus;1990;6244
Stockholms län;flerbostadshus;1991;6572
Stockholms län;flerbostadshus;1992;6284
Stockholms län;flerbostadshus;1993;6268
Stockholms län;flerbostadshus;1994;4124
Stockholms län;flerbostadshus;1995;1913
Stockholms län;flerbostadshus;1996;2177
Stockholms län;flerbostadshus;1997;2517
Stockholms län;flerbostadshus;1998;2049
Stockholms län;flerbostadshus;1999;2389
Stockholms län;flerbostadshus;2000;2497
Stockholms län;flerbostadshus;2001;2205
Stockholms län;flerbostadshus;2002;5086
Stockholms län;flerbostadshus;2003;4659
Stockholms län;flerbostadshus;2004;5169
Stockholms län;flerbostadshus;2005;4044
Stockholms län;flerbostadshus;2006;7063
Stockholms län;flerbostadshus;2007;6818
Stockholms län;flerbostadshus;2008;7640
Stockholms län;flerbostadshus;2009;7094
Stockholms län;flerbostadshus;2010;4705
Stockholms län;flerbostadshus;2011;5698
Stockholms län;flerbostadshus;2012;6076
Stockholms län;flerbostadshus;2013;7731
Stockholms län;flerbostadshus;2014;6794
Stockholms län;flerbostadshus;2015;9907
Stockholms län;flerbostadshus;2016;11360
Stockholms län;flerbostadshus;2017;12584
Stockholms län;flerbostadshus;2018;12880
Stockholms län;flerbostadshus;2019;13512
Stockholms län;flerbostadshus;2020;10979
Stockholms län;flerbostadshus;2021;12249
Stockholms län;småhus;1975;6380
Stockholms län;småhus;1976;5579
Stockholms län;småhus;1977;4741
Stockholms län;småhus;1978;4553
Stockholms län;småhus;1979;4129
Stockholms län;småhus;1980;3481
Stockholms län;småhus;1981;4148
Stockholms län;småhus;1982;2678
Stockholms län;småhus;1983;4034
Stockholms län;småhus;1984;3549
Stockholms län;småhus;1985;2804
Stockholms län;småhus;1986;2164
Stockholms län;småhus;1987;2403
Stockholms län;småhus;1988;2490
Stockholms län;småhus;1989;2816
Stockholms län;småhus;1990;2841
Stockholms län;småhus;1991;3333
Stockholms län;småhus;1992;2490
Stockholms län;småhus;1993;1704
Stockholms län;småhus;1994;1518
Stockholms län;småhus;1995;1107
Stockholms län;småhus;1996;1205
Stockholms län;småhus;1997;1268
Stockholms län;småhus;1998;1498
Stockholms län;småhus;1999;1754
Stockholms län;småhus;2000;1935
Stockholms län;småhus;2001;2735
Stockholms län;småhus;2002;2323
Stockholms län;småhus;2003;1874
Stockholms län;småhus;2004;2000
Stockholms län;småhus;2005;1885
Stockholms län;småhus;2006;1908
Stockholms län;småhus;2007;2043
Stockholms län;småhus;2008;2681
Stockholms län;småhus;2009;1407
Stockholms län;småhus;2010;1738
Stockholms län;småhus;2011;1556
Stockholms län;småhus;2012;1385
Stockholms län;småhus;2013;2013
Stockholms län;småhus;2014;2256
Stockholms län;småhus;2015;2445
Stockholms län;småhus;2016;2559
Stockholms län;småhus;2017;2711
Stockholms län;småhus;2018;2296
Stockholms län;småhus;2019;1552
Stockholms län;småhus;2020;2157
Stockholms län;småhus;2021;2037
Uppsala län;flerbostadshus;1975;642
Uppsala län;flerbostadshus;1976;496
Uppsala län;flerbostadshus;1977;563
Uppsala län;flerbostadshus;1978;405
Uppsala län;flerbostadshus;1979;285
Uppsala län;flerbostadshus;1980;879
Uppsala län;flerbostadshus;1981;1092
Uppsala län;flerbostadshus;1982;669
Uppsala län;flerbostadshus;1983;923
Uppsala län;flerbostadshus;1984;871
Uppsala län;flerbostadshus;1985;980
Uppsala län;flerbostadshus;1986;554
Uppsala län;flerbostadshus;1987;241
Uppsala län;flerbostadshus;1988;896
Uppsala län;flerbostadshus;1989;945
Uppsala län;flerbostadshus;1990;1209
Uppsala län;flerbostadshus;1991;1314
Uppsala län;flerbostadshus;1992;1369
Uppsala län;flerbostadshus;1993;1796
Uppsala län;flerbostadshus;1994;550
Uppsala län;flerbostadshus;1995;237
Uppsala län;flerbostadshus;1996;181
Uppsala län;flerbostadshus;1997;274
Uppsala län;flerbostadshus;1998;150
Uppsala län;flerbostadshus;1999;100
Uppsala län;flerbostadshus;2000;240
Uppsala län;flerbostadshus;2001;460
Uppsala län;flerbostadshus;2002;551
Uppsala län;flerbostadshus;2003;697
Uppsala län;flerbostadshus;2004;597
Uppsala län;flerbostadshus;2005;675
Uppsala län;flerbostadshus;2006;1119
Uppsala län;flerbostadshus;2007;1544
Uppsala län;flerbostadshus;2008;583
Uppsala län;flerbostadshus;2009;1550
Uppsala län;flerbostadshus;2010;541
Uppsala län;flerbostadshus;2011;1021
Uppsala län;flerbostadshus;2012;370
Uppsala län;flerbostadshus;2013;1398
Uppsala län;flerbostadshus;2014;1151
Uppsala län;flerbostadshus;2015;1433
Uppsala län;flerbostadshus;2016;1499
Uppsala län;flerbostadshus;2017;1904
Uppsala län;flerbostadshus;2018;2904
Uppsala län;flerbostadshus;2019;3382
Uppsala län;flerbostadshus;2020;2809
Uppsala län;flerbostadshus;2021;1605
Uppsala län;småhus;1975;1366
Uppsala län;småhus;1976;1549
Uppsala län;småhus;1977;1492
Uppsala län;småhus;1978;1610
Uppsala län;småhus;1979;1274
Uppsala län;småhus;1980;1186
Uppsala län;småhus;1981;884
Uppsala län;småhus;1982;812
Uppsala län;småhus;1983;928
Uppsala län;småhus;1984;688
Uppsala län;småhus;1985;649
Uppsala län;småhus;1986;432
Uppsala län;småhus;1987;509
Uppsala län;småhus;1988;875
Uppsala län;småhus;1989;1176
Uppsala län;småhus;1990;1188
Uppsala län;småhus;1991;1568
Uppsala län;småhus;1992;600
Uppsala län;småhus;1993;479
Uppsala län;småhus;1994;247
Uppsala län;småhus;1995;189
Uppsala län;småhus;1996;121
Uppsala län;småhus;1997;116
Uppsala län;småhus;1998;98
Uppsala län;småhus;1999;136
Uppsala län;småhus;2000;155
Uppsala län;småhus;2001;187
Uppsala län;småhus;2002;325
Uppsala län;småhus;2003;574
Uppsala län;småhus;2004;935
Uppsala län;småhus;2005;325
Uppsala län;småhus;2006;421
Uppsala län;småhus;2007;479
Uppsala län;småhus;2008;466
Uppsala län;småhus;2009;407
Uppsala län;småhus;2010;500
Uppsala län;småhus;2011;383
Uppsala län;småhus;2012;393
Uppsala län;småhus;2013;430
Uppsala län;småhus;2014;552
Uppsala län;småhus;2015;470
Uppsala län;småhus;2016;628
Uppsala län;småhus;2017;808
Uppsala län;småhus;2018;732
Uppsala län;småhus;2019;478
Uppsala län;småhus;2020;523
Uppsala län;småhus;2021;533
Södermanlands län;flerbostadshus;1975;577
Södermanlands län;flerbostadshus;1976;170
Södermanlands län;flerbostadshus;1977;113
Södermanlands län;flerbostadshus;1978;467
Södermanlands län;flerbostadshus;1979;311
Södermanlands län;flerbostadshus;1980;471
Södermanlands län;flerbostadshus;1981;707
Södermanlands län;flerbostadshus;1982;389
Södermanlands län;flerbostadshus;1983;569
Södermanlands län;flerbostadshus;1984;259
Södermanlands län;flerbostadshus;1985;328
Södermanlands län;flerbostadshus;1986;488
Södermanlands län;flerbostadshus;1987;279
Södermanlands län;flerbostadshus;1988;456
Södermanlands län;flerbostadshus;1989;306
Södermanlands län;flerbostadshus;1990;741
Södermanlands län;flerbostadshus;1991;969
Södermanlands län;flerbostadshus;1992;1249
Södermanlands län;flerbostadshus;1993;630
Södermanlands län;flerbostadshus;1994;716
Södermanlands län;flerbostadshus;1995;91
Södermanlands län;flerbostadshus;1996;193
Södermanlands län;flerbostadshus;1997;24
Södermanlands län;flerbostadshus;1998;87
Södermanlands län;flerbostadshus;1999;106
Södermanlands län;flerbostadshus;2000;47
Södermanlands län;flerbostadshus;2001;111
Södermanlands län;flerbostadshus;2002;119
Södermanlands län;flerbostadshus;2003;147
Södermanlands län;flerbostadshus;2004;113
Södermanlands län;flerbostadshus;2005;358
Södermanlands län;flerbostadshus;2006;274
Södermanlands län;flerbostadshus;2007;523
Södermanlands län;flerbostadshus;2008;416
Södermanlands län;flerbostadshus;2009;118
Södermanlands län;flerbostadshus;2010;288
Södermanlands län;flerbostadshus;2011;277
Södermanlands län;flerbostadshus;2012;417
Södermanlands län;flerbostadshus;2013;404
Södermanlands län;flerbostadshus;2014;442
Södermanlands län;flerbostadshus;2015;598
Södermanlands län;flerbostadshus;2016;450
Södermanlands län;flerbostadshus;2017;551
Södermanlands län;flerbostadshus;2018;1313
Södermanlands län;flerbostadshus;2019;877
Södermanlands län;flerbostadshus;2020;1488
Södermanlands län;flerbostadshus;2021;1176
Södermanlands län;småhus;1975;1255
Södermanlands län;småhus;1976;1019
Södermanlands län;småhus;1977;973
Södermanlands län;småhus;1978;1108
Södermanlands län;småhus;1979;1201
Södermanlands län;småhus;1980;1115
Södermanlands län;småhus;1981;1216
Södermanlands län;småhus;1982;703
Södermanlands län;småhus;1983;507
Södermanlands län;småhus;1984;573
Södermanlands län;småhus;1985;303
Södermanlands län;småhus;1986;249
Södermanlands län;småhus;1987;271
Södermanlands län;småhus;1988;616
Södermanlands län;småhus;1989;494
Södermanlands län;småhus;1990;695
Södermanlands län;småhus;1991;816
Södermanlands län;småhus;1992;664
Södermanlands län;småhus;1993;182
Södermanlands län;småhus;1994;144
Södermanlands län;småhus;1995;50
Södermanlands län;småhus;1996;65
Södermanlands län;småhus;1997;89
Södermanlands län;småhus;1998;80
Södermanlands län;småhus;1999;28
Södermanlands län;småhus;2000;71
Södermanlands län;småhus;2001;129
Södermanlands län;småhus;2002;129
Södermanlands län;småhus;2003;307
Södermanlands län;småhus;2004;373
Södermanlands län;småhus;2005;331
Södermanlands län;småhus;2006;501
Södermanlands län;småhus;2007;475
Södermanlands län;småhus;2008;472
Södermanlands län;småhus;2009;282
Södermanlands län;småhus;2010;395
Södermanlands län;småhus;2011;272
Södermanlands län;småhus;2012;224
Södermanlands län;småhus;2013;160
Södermanlands län;småhus;2014;174
Södermanlands län;småhus;2015;256
Södermanlands län;småhus;2016;302
Södermanlands län;småhus;2017;637
Södermanlands län;småhus;2018;508
Södermanlands län;småhus;2019;450
Södermanlands län;småhus;2020;435
Södermanlands län;småhus;2021;502
Östergötlands län;flerbostadshus;1975;1394
Östergötlands län;flerbostadshus;1976;549
Östergötlands län;flerbostadshus;1977;619
Östergötlands län;flerbostadshus;1978;485
Östergötlands län;flerbostadshus;1979;688
Östergötlands län;flerbostadshus;1980;616
Östergötlands län;flerbostadshus;1981;1120
Östergötlands län;flerbostadshus;1982;757
Östergötlands län;flerbostadshus;1983;1388
Östergötlands län;flerbostadshus;1984;616
Östergötlands län;flerbostadshus;1985;812
Östergötlands län;flerbostadshus;1986;516
Östergötlands län;flerbostadshus;1987;980
Östergötlands län;flerbostadshus;1988;640
Östergötlands län;flerbostadshus;1989;1457
Östergötlands län;flerbostadshus;1990;1449
Östergötlands län;flerbostadshus;1991;1593
Östergötlands län;flerbostadshus;1992;1576
Östergötlands län;flerbostadshus;1993;710
Östergötlands län;flerbostadshus;1994;678
Östergötlands län;flerbostadshus;1995;640
Östergötlands län;flerbostadshus;1996;476
Östergötlands län;flerbostadshus;1997;412
Östergötlands län;flerbostadshus;1998;332
Östergötlands län;flerbostadshus;1999;262
Östergötlands län;flerbostadshus;2000;208
Östergötlands län;flerbostadshus;2001;215
Östergötlands län;flerbostadshus;2002;359
Östergötlands län;flerbostadshus;2003;1151
Östergötlands län;flerbostadshus;2004;384
Östergötlands län;flerbostadshus;2005;382
Östergötlands län;flerbostadshus;2006;338
Östergötlands län;flerbostadshus;2007;691
Östergötlands län;flerbostadshus;2008;615
Östergötlands län;flerbostadshus;2009;259
Östergötlands län;flerbostadshus;2010;231
Östergötlands län;flerbostadshus;2011;306
Östergötlands län;flerbostadshus;2012;385
Östergötlands län;flerbostadshus;2013;434
Östergötlands län;flerbostadshus;2014;512
Östergötlands län;flerbostadshus;2015;1492
Östergötlands län;flerbostadshus;2016;1842
Östergötlands län;flerbostadshus;2017;2047
Östergötlands län;flerbostadshus;2018;1797
Östergötlands län;flerbostadshus;2019;1675
Östergötlands län;flerbostadshus;2020;1714
Östergötlands län;flerbostadshus;2021;1551
Östergötlands län;småhus;1975;2623
Östergötlands län;småhus;1976;1816
Östergötlands län;småhus;1977;1752
Östergötlands län;småhus;1978;1761
Östergötlands län;småhus;1979;2052
Östergötlands län;småhus;1980;1818
Östergötlands län;småhus;1981;1516
Östergötlands län;småhus;1982;1630
Östergötlands län;småhus;1983;1214
Östergötlands län;småhus;1984;721
Östergötlands län;småhus;1985;677
Östergötlands län;småhus;1986;684
Östergötlands län;småhus;1987;654
Östergötlands län;småhus;1988;694
Östergötlands län;småhus;1989;1010
Östergötlands län;småhus;1990;1161
Östergötlands län;småhus;1991;1411
Östergötlands län;småhus;1992;1002
Östergötlands län;småhus;1993;358
Östergötlands län;småhus;1994;128
Östergötlands län;småhus;1995;78
Östergötlands län;småhus;1996;118
Östergötlands län;småhus;1997;90
Östergötlands län;småhus;1998;120
Östergötlands län;småhus;1999;183
Östergötlands län;småhus;2000;193
Östergötlands län;småhus;2001;342
Östergötlands län;småhus;2002;269
Östergötlands län;småhus;2003;348
Östergötlands län;småhus;2004;466
Östergötlands län;småhus;2005;370
Östergötlands län;småhus;2006;505
Östergötlands län;småhus;2007;551
Östergötlands län;småhus;2008;593
Östergötlands län;småhus;2009;482
Östergötlands län;småhus;2010;502
Östergötlands län;småhus;2011;340
Östergötlands län;småhus;2012;418
Östergötlands län;småhus;2013;403
Östergötlands län;småhus;2014;330
Östergötlands län;småhus;2015;525
Östergötlands län;småhus;2016;533
Östergötlands län;småhus;2017;544
Östergötlands län;småhus;2018;684
Östergötlands län;småhus;2019;437
Östergötlands län;småhus;2020;446
Östergötlands län;småhus;2021;488
Jönköpings län;flerbostadshus;1975;645
Jönköpings län;flerbostadshus;1976;506
Jönköpings län;flerbostadshus;1977;485
Jönköpings län;flerbostadshus;1978;397
Jönköpings län;flerbostadshus;1979;642
Jönköpings län;flerbostadshus;1980;457
Jönköpings län;flerbostadshus;1981;533
Jönköpings län;flerbostadshus;1982;613
Jönköpings län;flerbostadshus;1983;776
Jönköpings län;flerbostadshus;1984;481
Jönköpings län;flerbostadshus;1985;405
Jönköpings län;flerbostadshus;1986;572
Jönköpings län;flerbostadshus;1987;513
Jönköpings län;flerbostadshus;1988;994
Jönköpings län;flerbostadshus;1989;898
Jönköpings län;flerbostadshus;1990;1645
Jönköpings län;flerbostadshus;1991;1534
Jönköpings län;flerbostadshus;1992;1278
Jönköpings län;flerbostadshus;1993;1173
Jönköpings län;flerbostadshus;1994;759
Jönköpings län;flerbostadshus;1995;344
Jönköpings län;flerbostadshus;1996;172
Jönköpings län;flerbostadshus;1997;298
Jönköpings län;flerbostadshus;1998;139
Jönköpings län;flerbostadshus;1999;280
Jönköpings län;flerbostadshus;2000;177
Jönköpings län;flerbostadshus;2001;393
Jönköpings län;flerbostadshus;2002;241
Jönköpings län;flerbostadshus;2003;269
Jönköpings län;flerbostadshus;2004;418
Jönköpings län;flerbostadshus;2005;443
Jönköpings län;flerbostadshus;2006;698
Jönköpings län;flerbostadshus;2007;254
Jönköpings län;flerbostadshus;2008;235
Jönköpings län;flerbostadshus;2009;236
Jönköpings län;flerbostadshus;2010;73
Jönköpings län;flerbostadshus;2011;312
Jönköpings län;flerbostadshus;2012;259
Jönköpings län;flerbostadshus;2013;1031
Jönköpings län;flerbostadshus;2014;194
Jönköpings län;flerbostadshus;2015;417
Jönköpings län;flerbostadshus;2016;631
Jönköpings län;flerbostadshus;2017;1137
Jönköpings län;flerbostadshus;2018;683
Jönköpings län;flerbostadshus;2019;1033
Jönköpings län;flerbostadshus;2020;950
Jönköpings län;flerbostadshus;2021;943
Jönköpings län;småhus;1975;2174
Jönköpings län;småhus;1976;1834
Jönköpings län;småhus;1977;1689
Jönköpings län;småhus;1978;1686
Jönköpings län;småhus;1979;1755
Jönköpings län;småhus;1980;1864
Jönköpings län;småhus;1981;1761
Jönköpings län;småhus;1982;1272
Jönköpings län;småhus;1983;863
Jönköpings län;småhus;1984;593
Jönköpings län;småhus;1985;463
Jönköpings län;småhus;1986;451
Jönköpings län;småhus;1987;537
Jönköpings län;småhus;1988;749
Jönköpings län;småhus;1989;908
Jönköpings län;småhus;1990;979
Jönköpings län;småhus;1991;926
Jönköpings län;småhus;1992;574
Jönköpings län;småhus;1993;219
Jönköpings län;småhus;1994;128
Jönköpings län;småhus;1995;125
Jönköpings län;småhus;1996;90
Jönköpings län;småhus;1997;71
Jönköpings län;småhus;1998;72
Jönköpings län;småhus;1999;78
Jönköpings län;småhus;2000;116
Jönköpings län;småhus;2001;151
Jönköpings län;småhus;2002;209
Jönköpings län;småhus;2003;177
Jönköpings län;småhus;2004;476
Jönköpings län;småhus;2005;317
Jönköpings län;småhus;2006;495
Jönköpings län;småhus;2007;380
Jönköpings län;småhus;2008;356
Jönköpings län;småhus;2009;316
Jönköpings län;småhus;2010;277
Jönköpings län;småhus;2011;314
Jönköpings län;småhus;2012;271
Jönköpings län;småhus;2013;361
Jönköpings län;småhus;2014;207
Jönköpings län;småhus;2015;221
Jönköpings län;småhus;2016;400
Jönköpings län;småhus;2017;365
Jönköpings län;småhus;2018;424
Jönköpings län;småhus;2019;429
Jönköpings län;småhus;2020;404
Jönköpings län;småhus;2021;403
Kronobergs län;flerbostadshus;1975;177
Kronobergs län;flerbostadshus;1976;60
Kronobergs län;flerbostadshus;1977;0
Kronobergs län;flerbostadshus;1978;10
Kronobergs län;flerbostadshus;1979;146
Kronobergs län;flerbostadshus;1980;325
Kronobergs län;flerbostadshus;1981;77
Kronobergs län;flerbostadshus;1982;366
Kronobergs län;flerbostadshus;1983;411
Kronobergs län;flerbostadshus;1984;200
Kronobergs län;flerbostadshus;1985;119
Kronobergs län;flerbostadshus;1986;210
Kronobergs län;flerbostadshus;1987;202
Kronobergs län;flerbostadshus;1988;606
Kronobergs län;flerbostadshus;1989;605
Kronobergs län;flerbostadshus;1990;904
Kronobergs län;flerbostadshus;1991;747
Kronobergs län;flerbostadshus;1992;907
Kronobergs län;flerbostadshus;1993;580
Kronobergs län;flerbostadshus;1994;476
Kronobergs län;flerbostadshus;1995;350
Kronobergs län;flerbostadshus;1996;746
Kronobergs län;flerbostadshus;1997;506
Kronobergs län;flerbostadshus;1998;213
Kronobergs län;flerbostadshus;1999;81
Kronobergs län;flerbostadshus;2000;337
Kronobergs län;flerbostadshus;2001;145
Kronobergs län;flerbostadshus;2002;832
Kronobergs län;flerbostadshus;2003;368
Kronobergs län;flerbostadshus;2004;291
Kronobergs län;flerbostadshus;2005;510
Kronobergs län;flerbostadshus;2006;257
Kronobergs län;flerbostadshus;2007;315
Kronobergs län;flerbostadshus;2008;357
Kronobergs län;flerbostadshus;2009;143
Kronobergs län;flerbostadshus;2010;203
Kronobergs län;flerbostadshus;2011;99
Kronobergs län;flerbostadshus;2012;56
Kronobergs län;flerbostadshus;2013;324
Kronobergs län;flerbostadshus;2014;336
Kronobergs län;flerbostadshus;2015;393
Kronobergs län;flerbostadshus;2016;379
Kronobergs län;flerbostadshus;2017;597
Kronobergs län;flerbostadshus;2018;1419
Kronobergs län;flerbostadshus;2019;689
Kronobergs län;flerbostadshus;2020;976
Kronobergs län;flerbostadshus;2021;758
Kronobergs län;småhus;1975;1259
Kronobergs län;småhus;1976;1068
Kronobergs län;småhus;1977;1200
Kronobergs län;småhus;1978;1331
Kronobergs län;småhus;1979;1281
Kronobergs län;småhus;1980;1233
Kronobergs län;småhus;1981;844
Kronobergs län;småhus;1982;745
Kronobergs län;småhus;1983;490
Kronobergs län;småhus;1984;429
Kronobergs län;småhus;1985;333
Kronobergs län;småhus;1986;299
Kronobergs län;småhus;1987;289
Kronobergs län;småhus;1988;387
Kronobergs län;småhus;1989;622
Kronobergs län;småhus;1990;432
Kronobergs län;småhus;1991;740
Kronobergs län;småhus;1992;388
Kronobergs län;småhus;1993;200
Kronobergs län;småhus;1994;66
Kronobergs län;småhus;1995;77
Kronobergs län;småhus;1996;94
Kronobergs län;småhus;1997;59
Kronobergs län;småhus;1998;59
Kronobergs län;småhus;1999;83
Kronobergs län;småhus;2000;92
Kronobergs län;småhus;2001;159
Kronobergs län;småhus;2002;145
Kronobergs län;småhus;2003;128
Kronobergs län;småhus;2004;145
Kronobergs län;småhus;2005;221
Kronobergs län;småhus;2006;357
Kronobergs län;småhus;2007;284
Kronobergs län;småhus;2008;333
Kronobergs län;småhus;2009;250
Kronobergs län;småhus;2010;229
Kronobergs län;småhus;2011;180
Kronobergs län;småhus;2012;240
Kronobergs län;småhus;2013;198
Kronobergs län;småhus;2014;227
Kronobergs län;småhus;2015;194
Kronobergs län;småhus;2016;211
Kronobergs län;småhus;2017;296
Kronobergs län;småhus;2018;378
Kronobergs län;småhus;2019;214
Kronobergs län;småhus;2020;257
Kronobergs län;småhus;2021;173
Kalmar län;flerbostadshus;1975;464
Kalmar län;flerbostadshus;1976;130
Kalmar län;flerbostadshus;1977;180
Kalmar län;flerbostadshus;1978;181
Kalmar län;flerbostadshus;1979;225
Kalmar län;flerbostadshus;1980;420
Kalmar län;flerbostadshus;1981;394
Kalmar län;flerbostadshus;1982;176
Kalmar län;flerbostadshus;1983;288
Kalmar län;flerbostadshus;1984;245
Kalmar län;flerbostadshus;1985;217
Kalmar län;flerbostadshus;1986;268
Kalmar län;flerbostadshus;1987;463
Kalmar län;flerbostadshus;1988;243
Kalmar län;flerbostadshus;1989;648
Kalmar län;flerbostadshus;1990;780
Kalmar län;flerbostadshus;1991;888
Kalmar län;flerbostadshus;1992;924
Kalmar län;flerbostadshus;1993;666
Kalmar län;flerbostadshus;1994;422
Kalmar län;flerbostadshus;1995;211
Kalmar län;flerbostadshus;1996;207
Kalmar län;flerbostadshus;1997;182
Kalmar län;flerbostadshus;1998;111
Kalmar län;flerbostadshus;1999;157
Kalmar län;flerbostadshus;2000;97
Kalmar län;flerbostadshus;2001;14
Kalmar län;flerbostadshus;2002;206
Kalmar län;flerbostadshus;2003;241
Kalmar län;flerbostadshus;2004;91
Kalmar län;flerbostadshus;2005;85
Kalmar län;flerbostadshus;2006;149
Kalmar län;flerbostadshus;2007;203
Kalmar län;flerbostadshus;2008;375
Kalmar län;flerbostadshus;2009;71
Kalmar län;flerbostadshus;2010;100
Kalmar län;flerbostadshus;2011;83
Kalmar län;flerbostadshus;2012;132
Kalmar län;flerbostadshus;2013;96
Kalmar län;flerbostadshus;2014;144
Kalmar län;flerbostadshus;2015;323
Kalmar län;flerbostadshus;2016;257
Kalmar län;flerbostadshus;2017;526
Kalmar län;flerbostadshus;2018;953
Kalmar län;flerbostadshus;2019;800
Kalmar län;flerbostadshus;2020;1087
Kalmar län;flerbostadshus;2021;314
Kalmar län;småhus;1975;1711
Kalmar län;småhus;1976;1070
Kalmar län;småhus;1977;1285
Kalmar län;småhus;1978;1332
Kalmar län;småhus;1979;1317
Kalmar län;småhus;1980;1286
Kalmar län;småhus;1981;1145
Kalmar län;småhus;1982;835
Kalmar län;småhus;1983;640
Kalmar län;småhus;1984;422
Kalmar län;småhus;1985;383
Kalmar län;småhus;1986;280
Kalmar län;småhus;1987;451
Kalmar län;småhus;1988;516
Kalmar län;småhus;1989;743
Kalmar län;småhus;1990;961
Kalmar län;småhus;1991;899
Kalmar län;småhus;1992;526
Kalmar län;småhus;1993;175
Kalmar län;småhus;1994;126
Kalmar län;småhus;1995;91
Kalmar län;småhus;1996;54
Kalmar län;småhus;1997;67
Kalmar län;småhus;1998;30
Kalmar län;småhus;1999;37
Kalmar län;småhus;2000;28
Kalmar län;småhus;2001;94
Kalmar län;småhus;2002;30
Kalmar län;småhus;2003;63
Kalmar län;småhus;2004;292
Kalmar län;småhus;2005;146
Kalmar län;småhus;2006;186
Kalmar län;småhus;2007;267
Kalmar län;småhus;2008;230
Kalmar län;småhus;2009;180
Kalmar län;småhus;2010;300
Kalmar län;småhus;2011;248
Kalmar län;småhus;2012;308
Kalmar län;småhus;2013;163
Kalmar län;småhus;2014;135
Kalmar län;småhus;2015;144
Kalmar län;småhus;2016;218
Kalmar län;småhus;2017;232
